Symbol	Security	SEC filings	GICS Sector	GICS Sub Industry	Headquarters Location	Date first added	CIK	Founded	S&P-500	NASDAQ	DJI
A	Agilent Technologies Inc	reports	Health Care	Health Care Equipment	Santa Clara, California	05.06.00	1090872.0	1999	True	False	False
AAL	American Airlines Group	reports	Industrials	Airlines	Fort Worth, Texas	23.03.15	6201.0	1934	True	False	False
AAP	Advance Auto Parts	reports	Consumer Discretionary	Automotive Retail	Raleigh, North Carolina	09.07.15	1158449.0	1932	True	False	False
AAPL	Apple Inc.	reports	Information Technology	Technology Hardware, Storage & Peripherals	Cupertino, California	30.11.82	320193.0	1977	True	True	True
ABBV	AbbVie Inc.	reports	Health Care	Pharmaceuticals	North Chicago, Illinois	31.12.12	1551152.0	1888	True	False	False
ABC	AmerisourceBergen Corp	reports	Health Care	Health Care Distributors	Chesterbrook, Pennsylvania	30.08.01	1140859.0	1985	True	False	False
ABMD	ABIOMED Inc	reports	Health Care	Health Care Equipment	Danvers, Massachusetts	31.05.18	815094.0	1981	True	False	False
ABT	Abbott Laboratories	reports	Health Care	Health Care Equipment	North Chicago, Illinois	31.03.64	1800.0	1888	True	False	False
ACN	Accenture plc	reports	Information Technology	IT Consulting & Other Services	Dublin, Ireland	06.07.11	1467373.0	1989	True	False	False
ADBE	Adobe Inc.	reports	Information Technology	Application Software	San Jose, California	05.05.97	796343.0	1982	True	True	False
ADI	Analog Devices, Inc.	reports	Information Technology	Semiconductors	Norwood, Massachusetts	12.10.99	6281.0	1965	True	True	False
ADM	Archer-Daniels-Midland Co	reports	Consumer Staples	Agricultural Products	Chicago, Illinois	29.07.81	7084.0	1902	True	False	False
ADP	Automatic Data Processing	reports	Information Technology	Internet Services & Infrastructure	Roseland, New Jersey	31.03.81	8670.0	1949	True	True	False
ADSK	Autodesk Inc.	reports	Information Technology	Application Software	San Rafael, California	01.12.89	769397.0	1982	True	True	False
AEE	Ameren Corp	reports	Utilities	Multi-Utilities	St. Louis, Missouri	19.09.91	1002910.0	1902	True	False	False
AEP	American Electric Power	reports	Utilities	Electric Utilities	Columbus, Ohio	04.03.57	4904.0	1906	True	False	False
AES	AES Corp	reports	Utilities	Independent Power Producers & Energy Traders	Arlington, Virginia	02.10.98	874761.0	1981	True	False	False
AFL	AFLAC Inc	reports	Financials	Life & Health Insurance	Columbus, Georgia	28.05.99	4977.0	1955	True	False	False
AIG	American International Group	reports	Financials	Property & Casualty Insurance	New York, New York	31.03.80	5272.0	1919	True	False	False
AIV	Apartment Investment & Management	reports	Real Estate	Residential REITs	Denver, Colorado	14.03.03	922864.0	1975	True	False	False
AIZ	Assurant	reports	Financials	Multi-line Insurance	New York, New York	10.04.07	1267238.0	1892	True	False	False
AJG	Arthur J. Gallagher & Co.	reports	Financials	Insurance Brokers	Itasca, Illinois	31.05.16	354190.0	1927	True	False	False
AKAM	Akamai Technologies Inc	reports	Information Technology	Internet Services & Infrastructure	Cambridge, Massachusetts	12.07.07	1086222.0	1998	True	False	False
ALB	Albemarle Corp	reports	Materials	Specialty Chemicals	Charlotte, North Carolina	01.07.16	915913.0	1994	True	False	False
ALGN	Align Technology	reports	Health Care	Health Care Supplies	San Jose, California	19.06.17	1097149.0	1997	True	True	False
ALK	Alaska Air Group Inc	reports	Industrials	Airlines	Seattle, Washington	13.05.16	766421.0	1985	True	False	False
ALL	Allstate Corp	reports	Financials	Property & Casualty Insurance	Northfield Township, Illinois	13.07.95	899051.0	1931	True	False	False
ALLE	Allegion	reports	Industrials	Building Products	Dublin, Ireland	02.12.13	1579241.0	1908	True	False	False
ALXN	Alexion Pharmaceuticals	reports	Health Care	Biotechnology	Boston, Massachusetts	25.05.12	899866.0	1992	True	True	False
AMAT	Applied Materials Inc.	reports	Information Technology	Semiconductor Equipment	Santa Clara, California	16.03.95	6951.0	1967	True	True	False
AMCR	Amcor plc	reports	Materials	Paper Packaging	Warmley, Bristol, United Kingdom	07.06.19	1748790.0	1860	True	False	False
AMD	Advanced Micro Devices Inc	reports	Information Technology	Semiconductors	Santa Clara, California	20.03.17	2488.0	1969	True	True	False
AME	AMETEK Inc.	reports	Industrials	Electrical Components & Equipment	Berwyn, Pennsylvania	23.09.13	1037868.0	1930	True	False	False
AMGN	Amgen Inc.	reports	Health Care	Biotechnology	Thousand Oaks, California	02.01.92	318154.0	1980	True	True	False
AMP	Ameriprise Financial	reports	Financials	Asset Management & Custody Banks	Minneapolis, Minnesota	03.10.05	820027.0	1894	True	False	False
AMT	American Tower Corp.	reports	Real Estate	Specialized REITs	Boston, Massachusetts	19.11.07	1053507.0	1995	True	False	False
AMZN	Amazon.com Inc.	reports	Consumer Discretionary	Internet & Direct Marketing Retail	Seattle, Washington	18.11.05	1018724.0	1994	True	True	False
ANET	Arista Networks	reports	Information Technology	Communications Equipment	Santa Clara, California	28.08.18	1596532.0	2004	True	False	False
ANSS	ANSYS	reports	Information Technology	Application Software	Canonsburg, Pennsylvania	19.06.17	1013462.0	1969	True	True	False
ANTM	Anthem	reports	Health Care	Managed Health Care	Indianapolis, Indiana	25.07.02	1156039.0	1940	True	False	False
AON	Aon plc	reports	Financials	Insurance Brokers	London, United Kingdom	23.04.96	315293.0	1919	True	False	False
AOS	A.O. Smith Corp	reports	Industrials	Building Products	Milwaukee, Wisconsin	26.07.17	91142.0	1916	True	False	False
APA	Apache Corporation	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	28.07.97	6769.0	1954	True	False	False
APD	Air Products & Chemicals Inc	reports	Materials	Industrial Gases	Allentown, Pennsylvania	30.04.85	2969.0	1940	True	False	False
APH	Amphenol Corp	reports	Information Technology	Electronic Components	Wallingford, Connecticut	30.09.08	820313.0	1932	True	False	False
APTV	Aptiv PLC	reports	Consumer Discretionary	Auto Parts & Equipment	Dublin, Ireland	24.12.12	1521332.0	1994	True	False	False
ARE	Alexandria Real Estate Equities	reports	Real Estate	Office REITs	Pasadena, California	20.03.17	1035443.0	1994	True	False	False
ASML	ASML Holding								False	True	False
ATO	Atmos Energy	reports	Utilities	Gas Utilities	Dallas, Texas	15.02.19	731802.0	1906	True	False	False
ATVI	Activision Blizzard	reports	Communication Services	Interactive Home Entertainment	Santa Monica, California	31.08.15	718877.0	2008	True	True	False
AVB	AvalonBay Communities	reports	Real Estate	Residential REITs	Arlington, Virginia[3]	10.01.07	915912.0	1978	True	False	False
AVGO	Broadcom Inc.	reports	Information Technology	Semiconductors	San Jose, California	08.05.14	1730168.0	1961	True	True	False
AVY	Avery Dennison Corp	reports	Materials	Paper Packaging	Glendale, California	31.12.87	8818.0	1990	True	False	False
AWK	American Water Works Company Inc	reports	Utilities	Water Utilities	Camden, New Jersey	04.03.16	1410636.0	1886	True	False	False
AXP	American Express Co	reports	Financials	Consumer Finance	New York, New York	30.06.76	4962.0	1850	True	False	True
AZO	AutoZone Inc	reports	Consumer Discretionary	Specialty Stores	Memphis, Tennessee	02.01.97	866787.0	1979	True	False	False
BA	Boeing Company	reports	Industrials	Aerospace & Defense	Chicago, Illinois	04.03.57	12927.0	1916	True	False	True
BAC	Bank of America Corp	reports	Financials	Diversified Banks	Charlotte, North Carolina	30.06.76	70858.0	1874	True	False	False
BAX	Baxter International Inc.	reports	Health Care	Health Care Equipment	Deerfield, Illinois	30.09.72	10456.0	1931	True	False	False
BBY	Best Buy Co. Inc.	reports	Consumer Discretionary	Computer & Electronics Retail	Richfield, Minnesota	29.06.99	764478.0	1966	True	False	False
BDX	Becton Dickinson	reports	Health Care	Health Care Equipment	Franklin Lakes, New Jersey	30.09.72	10795.0	1897	True	False	False
BEN	Franklin Resources	reports	Financials	Asset Management & Custody Banks	San Mateo, California		38777.0	1947	True	False	False
BF.B	Brown-Forman Corp.	reports	Consumer Staples	Distillers & Vintners	Louisville, Kentucky	31.10.82	14693.0	1870	True	False	False
BIDU	Baidu								False	True	False
BIIB	Biogen Inc.	reports	Health Care	Biotechnology	Cambridge, Massachusetts	13.11.03	875045.0	1978	True	True	False
BIO	Bio-Rad Laboratories	reports	Health Care	Life Sciences Tools & Services	Hercules, California	22.06.20	12208.0	1952	True	False	False
BK	The Bank of New York Mellon	reports	Financials	Asset Management & Custody Banks	New York, New York	31.03.95	1390777.0	1784	True	False	False
BKNG	Booking Holdings Inc	reports	Consumer Discretionary	Internet & Direct Marketing Retail	Norwalk, Connecticut	06.11.09	1075531.0	1996	True	True	False
BKR	Baker Hughes Co	reports	Energy	Oil & Gas Equipment & Services	Houston, Texas	07.07.17	1701605.0	2017	True	False	False
BLK	BlackRock	reports	Financials	Asset Management & Custody Banks	New York, New York	04.04.11	1364742.0	1988	True	False	False
