title	commentCount	dislikeCount	likeCount	music_style	performer	viewCount	commentators_uniq	comments_obscene_cnt	video_age
"""#2Маши ""Свободные линии"""	34.0	43.0	1402.0	popsa	2маши	214301.0	24.0	0.0	1141
"""ALARM"" СЕРГЕЙ ЛАЗАРЕВ ( SERGEY LAZAREV )"		690.0	10532.0	popsa	лазарев	2221419.0			3217
"""EARTH SONG""  SERGEY LAZAREV. DEDICATED TO MICHAEL JACKSON ( Cover version)"	26.0	10.0	269.0	popsa	лазарев	40327.0	23.0	0.0	3546
"""Earth song"" премия МУЗ-тВ 2010 (LIVE)"	12.0	7.0	163.0	popsa	лазарев	11907.0	11.0	0.0	3189
"""FAKE"" СЕРГЕЙ ЛАЗАРЕВ (SERGEY)"	46.0	19.0	597.0	popsa	лазарев	91483.0	33.0	1.0	3361
"""Feelin High"" Сергей Лазарев Sergey Lazarev live"	7.0	7.0	87.0	popsa	лазарев	9217.0	6.0	0.0	3179
"""Girlfriend"" Сергей Лазарев (SERGEY)"	88.0	69.0	1566.0	popsa	лазарев	449891.0	63.0	1.0	4013
"""Heartbeat"" Сергей Лазарев (Sergey Lazarev)"	168.0	101.0	4091.0	popsa	лазарев	763611.0	130.0	0.0	2948
"""Hey Tovarish"" Video Shooting"	10.0	1.0	34.0	rock	мумий_тролль	3815.0	9.0	0.0	2539
"""LAZERBOY"" Сергей Лазарев (SERGEY) feat. TИМАТИ (Timati)"	422.0	229.0	4137.0	popsa	лазарев	629212.0	223.0	6.0	3765
"""LAZERBOY""( Michael Yousher videoremix) Сергей Лазарев (SERGEY) и ТИМАТИ"	5.0	4.0	141.0	popsa	лазарев	35902.0	5.0	1.0	3608
"""Lost without your love"" Сергей Лазарев (SERGEY)"	189.0	102.0	2599.0	popsa	лазарев	582159.0	119.0	4.0	3308
"""Love Radio"": Съемки клипа НЮШИ ""Наедине"""	25.0	14.0	283.0	popsa	нюша	58496.0	24.0	0.0	2165
"""Ru Music"": НЮША сняла новый клип!"	12.0	4.0	87.0	popsa	нюша	14780.0	9.0	0.0	2180
"""Ru Новости"": НЮША чудом вернулась в Москву!"	5.0	5.0	49.0	popsa	нюша	4625.0	5.0	1.0	2179
"""SOS Матросу!"" - тизер фильма"	10.0	4.0	68.0	rock	мумий_тролль	7632.0	5.0	0.0	1739
"""STEREO"" (LIVE) Сергей Лазарев (SERGEY)"	30.0	10.0	541.0	popsa	лазарев	117765.0	26.0	1.0	3522
"""Shattered dreams"" Сергей Лазарев (SERGEY)"	57.0	28.0	961.0	popsa	лазарев	109955.0	35.0	1.0	3603
"""Tv or radio"" Сергей Лазарев (SERGEY)"	627.0	157.0	3714.0	popsa	лазарев	634676.0	277.0	7.0	4189
"""You Are The Only One"" - Sergey Lazarev /MadWalk Fashion Music Show"	156.0	96.0	2203.0	popsa	лазарев	165878.0	101.0	0.0	1056
"""Аве Мария"" Весь зал плакал. Вика 11 лет"	3865.0	8603.0	47974.0	classic	classical_channel	10674427.0	1568.0	11.0	2636
"""Антоха МС - Советы для молодожёнов /2017/"""	11.0	12.0	288.0	indi	антоха_мс	8316.0	10.0	0.0	529
"""Большая семья"" Игоря Крутого - часть 1"	0.0	9.0	44.0	estrada	николаев	50344.0			3051
"""Большая семья"" Игоря Крутого - часть 2"	1.0	1.0	27.0	estrada	николаев	23952.0	1.0	0.0	3051
"""Большая семья"" Игоря Крутого - часть 3"	0.0	10.0	79.0	estrada	николаев	59858.0			3051
"""Большая семья"" Игоря Крутого - часть 4"	1.0	2.0	24.0	estrada	николаев	20127.0			3051
"""Большая семья"" Игоря Крутого - часть 6"	1.0	7.0	74.0	estrada	николаев	24009.0			3051
"""Большая семья"" Игоря Крутого - часть 7"	0.0	2.0	20.0	estrada	николаев	15374.0			3051
"""Большая семья"" Игоря Крутого - часть 8"	10.0	27.0	196.0	estrada	николаев	58941.0			3051
"""Большая семья"" Игоря Крутого - часть 9"	2.0	5.0	48.0	estrada	николаев	59618.0	1.0	0.0	3051
"""Большая семья"" Игоря Николаева  - часть 2"	3.0	36.0	169.0	estrada	николаев	57176.0	3.0	0.0	2832
"""Большая семья"" Игоря Николаева - часть 1"	1.0	77.0	327.0	estrada	николаев	176854.0	1.0	0.0	2833
"""Большая семья"" Игоря Николаева - часть 3"	15.0	104.0	447.0	estrada	николаев	113002.0	1.0	0.0	2832
"""В теме"" на Ю: НЮША"	1.0	5.0	30.0	popsa	нюша	6639.0	1.0	0.0	2302
"""В теме"" на Ю: НЮША любимый артист портала Woman.ru"	7.0	9.0	138.0	popsa	нюша	20575.0			2102
"""ВИА Гра. Тайны производства"" (""Моя правда"" на ""СТБ"")"	16.0	10.0	52.0	popsa	виа_гра	53248.0	12.0	0.0	2713
"""ВОИН ДУМА"""	4.0	0.0	49.0	rock	король_и_шут	1950.0			3819
"""Вечерний Ургант"" Валерия в гостях у Ивана Урганта."	3.0			estrada	валерия	1993.0	3.0	0.0	1184
"""Виктор Цой. 50 лет"" Кукрыниксы - Печаль, Кончится лето..."	2.0	4.0	65.0	rock	кукрыниксы	9986.0	2.0	0.0	2351
"""Владимирский Централ"" песня под гитару"	24.0	2.0	156.0	shanson	михаил_круг	8489.0	10.0	0.0	1422
"""Всё, что было"". Начало."	23.0	5.0	171.0	rock	ария	11168.0	21.0	1.0	2351
"""Где ты"" [Москва, 2012г.]"	5.0	3.0	79.0	shanson	ирина_круг	11124.0	5.0	0.0	1990
"""Глаза - убийцы"". Первые впечатления"	3.0	11.0	32.0	popsa	барских	6845.0	16.0	1.0	2849
"""Глаза - убийцы"". Первые впечатления"	4.0	13.0	7.0	popsa	барских	2657.0	16.0	1.0	2850
"""Глаза - убийцы"". Первые впечатления"	11.0	40.0	42.0	popsa	барских	11713.0	16.0	1.0	2850
"""Глаза - убийцы"". Первые впечатления"	1.0	10.0	23.0	popsa	барских	5621.0	16.0	1.0	2850
"""Глаза - убийцы"". Первые впечатления"	5.0	13.0	46.0	popsa	барских	7316.0	16.0	1.0	2850
"""Говорим и показываем"". Бенефис ВАЛЕРИИ! НТВ 2012"	4.0	1.0	56.0	estrada	валерия	12013.0	4.0	0.0	2522
"""Горыгоры"" - вторая песня, записанная на съемках ""Вечернего Урганта"""	2.0	1.0	55.0	rock	арбенина	3145.0			1933
"""ДОЧКИ МАТЕРИ"" (Audio) - гр. ""Воровайки"". Слова Виктории В. Ветровой, муз. Юрия Алмазова"	0.0	2.0	4.0	shanson	воровайки	912.0			439
"""ДОстояние РЕспублики"" - Игорь Николаев (1)"	7.0	19.0	80.0	estrada	николаев	51883.0			2818
"""ДОстояние РЕспублики"" - Игорь Николаев (2)"	0.0	9.0	61.0	estrada	николаев	32876.0			2818
"""ДОстояние РЕспублики"" - Игорь Николаев (3)"	0.0	4.0	56.0	estrada	николаев	20254.0			2818
"""ДОстояние РЕспублики"" - Игорь Николаев (4)"	5.0	41.0	211.0	estrada	николаев	75659.0	2.0	0.0	2818
"""Давайте мириться"" [2011г.]"	0.0	1.0	16.0	shanson	ирина_круг	6877.0			2122
"""Дерево Победы 2013"" в Челябинске"	1.0	2.0	11.0	estrada	газманов	1697.0	1.0	0.0	2156
"""Дивизия"" приглашает на ""Городских Птичек"""	0.0	2.0	4.0	indi	краснознаменная_дивизия_имени_моей_бабушки	621.0			824
