"","year","count"
"1",1851,4
"2",1852,5
"3",1853,4
"4",1854,1
"5",1855,0
"6",1856,4
"7",1857,3
"8",1858,4
"9",1859,0
"10",1860,6
"11",1861,3
"12",1862,3
"13",1863,4
"14",1864,0
"15",1865,2
"16",1866,6
"17",1867,3
"18",1868,3
"19",1869,5
"20",1870,4
"21",1871,5
"22",1872,3
"23",1873,1
"24",1874,4
"25",1875,4
"26",1876,1
"27",1877,5
"28",1878,5
"29",1879,3
"30",1880,4
"31",1881,2
"32",1882,5
"33",1883,2
"34",1884,2
"35",1885,3
"36",1886,4
"37",1887,2
"38",1888,1
"39",1889,3
"40",1890,2
"41",1891,2
"42",1892,1
"43",1893,1
"44",1894,1
"45",1895,1
"46",1896,3
"47",1897,0
"48",1898,0
"49",1899,1
"50",1900,0
"51",1901,1
"52",1902,1
"53",1903,0
"54",1904,0
"55",1905,3
"56",1906,1
"57",1907,0
"58",1908,3
"59",1909,2
"60",1910,2
"61",1911,0
"62",1912,1
"63",1913,1
"64",1914,1
"65",1915,0
"66",1916,1
"67",1917,0
"68",1918,1
"69",1919,0
"70",1920,0
"71",1921,0
"72",1922,2
"73",1923,1
"74",1924,0
"75",1925,0
"76",1926,0
"77",1927,1
"78",1928,1
"79",1929,0
"80",1930,2
"81",1931,3
"82",1932,3
"83",1933,1
"84",1934,1
"85",1935,2
"86",1936,1
"87",1937,1
"88",1938,1
"89",1939,1
"90",1940,2
"91",1941,4
"92",1942,2
"93",1943,0
"94",1944,0
"95",1945,0
"96",1946,1
"97",1947,4
"98",1948,0
"99",1949,0
"100",1950,0
"101",1951,1
"102",1952,0
"103",1953,0
"104",1954,0
"105",1955,0
"106",1956,0
"107",1957,1
"108",1958,0
"109",1959,0
"110",1960,1
"111",1961,0
"112",1962,1
