n	price	totsp	livesp	kitsp	dist	metrdist	walk	brick	floor	code
1	81	58	40	6	12.5	7	1	1	1	3
2	75	44	28	6	13.5	7	1	0	1	6
3	128	70	42	6	14.5	3	1	1	1	3
4	95	61	37	6	13.5	7	1	0	1	1
5	330	104	60	11	10.5	7	0	1	1	3
6	137	76	50	9	11	7	1	1	1	8
7	98	59	39	6	7.5	10	0	0	1	8
8	88	55	36	6	9	5	1	1	0	4
9	225	80	56	9	9	5	1	1	1	3
10	140	86	51	10	12.7	10	1	0	1	5
11	132	96	56	12	10.5	7	0	0	1	3
12	115	77	50	9	3.5	7	1	0	0	7
13	142	70	47	8	7.5	5	1	0	1	3
14	84	63	44	7	14.5	10	0	0	1	3
15	100	66	43	7	12	7	0	0	1	7
16	110	75	50	10	13.5	10	0	0	1	6
17	170	87	58	8	7.5	7	1	1	1	3
18	175	79	50	9	4.5	1	1	1	0	8
19	96	60	43	6	12	15	1	0	1	7
20	110	85	54	10	6	10	0	1	1	6
21	170	84	55	11	3	15	1	1	0	1
22	125	62	40	8	12.5	5	1	0	1	2
23	135	72	51	8	9	5	1	1	1	3
24	95	58	38	6	12	8	1	0	1	1
25	148	92	61	10	10.5	15	1	1	1	7
26	56	68	43	7	13.5	10	0	1	1	6
27	135	82	46	13	12	5	1	0	1	5
28	130	73	52	7	11	5	1	1	1	8
29	72	49	34	6	7	10	0	0	1	5
30	127	85	46	14	12	7	1	1	1	5
31	140	65	44	8	4.5	5	1	0	1	8
32	112	73	51	8	10.5	7	0	1	1	3
33	120	83	56	10	12	15	1	1	1	5
34	130	70	47	8	9	5	1	0	1	4
35	110	75	43	10	12.7	5	1	0	1	5
36	450	125	80	20	9	3	1	0	1	4
37	159	81	56	8	7.5	15	1	1	0	8
38	120	77	47	12	13.5	10	1	0	1	1
39	132	77	41	10	10	7	0	0	1	6
40	169	68	40	8	3	5	1	1	1	1
41	185	75	47	9	3	3	1	1	0	1
42	92	61	33	7	10.5	10	1	1	0	7
43	88	60	43	6	12	5	0	0	0	7
44	90	58	43	6	13.5	2	1	0	1	6
45	115	77	50	9	6	10	1	1	1	6
46	265	100	56	14	7	10	0	0	1	4
47	129	79	46	13	12	15	1	0	1	1
48	110	65	46	7	12.5	5	1	0	1	2
49	102	60	43	6	12	5	0	1	1	7
50	101	77	45	13	13	10	0	0	1	5
51	86	60	42	7	12	10	0	0	1	8
52	115	75	42	8	12	15	0	0	1	7
53	87	64	46	7	12	5	1	0	1	5
54	140	99	51	12	10.5	1	1	0	0	7
55	219	113	60	20	9	10	1	0	1	3
56	79	51	34	6	13.5	5	1	0	1	6
57	180	81	50	11	7.5	5	1	1	0	3
58	89	62	38	9	13	4	0	0	0	5
59	340	83	49	19	9	5	1	1	1	3
