contest_login	fraud	k1a	k1b	k1c	k1d	k1e	k1f	k1	k2a	k2b	k2c	k2d	k2e	k2f	k2	k3a	k3b	k3c	k3
eds_python_2020_1	0.0	10.0	10.0	20.0	30.0	4.0	22.0	10.1	20.0	10.0	20.0	20.0	20.0	20.0	11.0	35.0	0.0	27.0	6.2
eds_python_2020_2	1.0	9.0	10.0	20.0		16.0	12.0	6.7		5.0		20.0	20.0	20.0	6.5	35.0	29.0	22.0	8.6
eds_python_2020_3	0.0	2.0	10.0	20.0		20.0	30.0	8.2	20.0	5.0		20.0	20.0	20.0	8.5	28.0	2.0	0.0	3.0
eds_python_2020_4	1.0	10.0	10.0	20.0		16.0	14.0	7.0	20.0	10.0		20.0	20.0	20.0	9.0	30.0	38.0	0.0	6.8
eds_python_2020_5	2.0	10.0	10.0	12.0	0.0	16.0	22.0	7.0	20.0	10.0		20.0	20.0	20.0	9.0	0.0	0.0	0.0	0.0
eds_python_2020_6	0.0	10.0	10.0	20.0	30.0	6.0	12.0	8.8	20.0	5.0		20.0	20.0	20.0	8.5	27.0	10.0	7.0	4.4
eds_python_2020_7	2.0	10.0	10.0	16.0	8.0	20.0	18.0	8.2	20.0	5.0	20.0	20.0	20.0	20.0	10.5	34.0	0.0	0.0	3.4
eds_python_2020_8	0.0	10.0	10.0	18.0		2.0	12.0	5.2	20.0	5.0		20.0	20.0	15.0	8.0	21.0	18.0	4.0	4.3
eds_python_2020_9	0.0	10.0	10.0	9.0		4.0	14.0	4.7			0.0	20.0	20.0	20.0	6.0	35.0	0.0	0.0	3.5
eds_python_2020_10	2.0	10.0	10.0	7.0	0.0	0.0		2.7				20.0	20.0	20.0	6.0	35.0	0.0	3.0	3.8
eds_python_2020_11	0.0	4.0	10.0	20.0		20.0	12.0	6.6	20.0		0.0	20.0	20.0	20.0	8.0	25.0	25.0	3.0	5.3
eds_python_2020_12	1.0	10.0	10.0	6.0				2.6				20.0	0.0		2.0	0.0	0.0	0.0	0.0
eds_python_2020_13	2.0	10.0	10.0	20.0		16.0	12.0	6.8	20.0		20.0	20.0	20.0	20.0	10.0	30.0	40.0	0.0	7.0
eds_python_2020_14	1.0	10.0	10.0	20.0		0.0	12.0	5.2		5.0	5.0	20.0	20.0	12.0	6.2	28.0	20.0	5.0	5.3
eds_python_2020_15	1.0	10.0	10.0	12.0		16.0	12.0	6.0	20.0	5.0		20.0	20.0		6.5	35.0	40.0	21.0	9.6
eds_python_2020_16	1.0	10.0	10.0	13.0		16.0	22.0	7.1		10.0	14.0	20.0	20.0	20.0	8.4	35.0	38.0	5.0	7.8
eds_python_2020_17	1.0	10.0	10.0	18.0	0.0	4.0	12.0	6.4		5.0	20.0	20.0	20.0	10.0	7.5	33.0	38.0	20.0	9.1
eds_python_2020_18	1.0	10.0	10.0	18.0	17.0	16.0	12.0	8.3	20.0	10.0	14.0	20.0	20.0	20.0	10.4	31.0	40.0	25.0	9.6
eds_python_2020_19	1.0	10.0	10.0	6.0		16.0	12.0	5.4		10.0		20.0	20.0	20.0	7.0	35.0	30.0	5.0	7.0
eds_python_2020_20	2.0	10.0	10.0	18.0	0.0	20.0	12.0	7.0	20.0	10.0	10.0	20.0	20.0	20.0	10.0	35.0	38.0	35.0	10.8
eds_python_2020_21	0.0		10.0	7.0	30.0		12.0	5.9	8.0	5.0		8.0			2.1	26.0	18.0	0.0	4.4
eds_python_2020_22	2.0	10.0	10.0	18.0	17.0	4.0	12.0	7.1	20.0	10.0		20.0	20.0	20.0	9.0	35.0	40.0	40.0	11.5
eds_python_2020_23	4.0	10.0	10.0	7.0	30.0	4.0	12.0	7.3	20.0	10.0	14.0	20.0	20.0		8.4	35.0	16.0	18.0	6.9
eds_python_2020_24	1.0	10.0	10.0	20.0		14.0	12.0	6.6	20.0			20.0	0.0		4.0	25.0	38.0	14.0	7.7
eds_python_2020_25	1.0	10.0	0.0	13.0			14.0	3.7		0.0	0.0	20.0	20.0	20.0	6.0	35.0	18.0	15.0	6.8
eds_python_2020_26	1.0	1.0	10.0				30.0	4.1		0.0				20.0	2.0	30.0	0.0	33.0	6.3
eds_python_2020_27	0.0	1.0	10.0	20.0	30.0	4.0	12.0	7.7	20.0		13.0	20.0	20.0		7.3	33.0	35.0	13.0	8.1
eds_python_2020_28	0.0	10.0	10.0	20.0	8.0	18.0	30.0	9.6		10.0	20.0	20.0	20.0	20.0	9.0	25.0	20.0	10.0	5.5
eds_python_2020_29	1.0	10.0	10.0	20.0	0.0	10.0	12.0	6.2				20.0	20.0	20.0	6.0	25.0	0.0	5.0	3.0
eds_python_2020_30	1.0		10.0	9.0	0.0	6.0	8.0	3.3	20.0	10.0	15.0	20.0	20.0	20.0	10.5	0.0	0.0	0.0	0.0
eds_python_2020_31	0.0	10.0	10.0	18.0		10.0	12.0	6.0		10.0		20.0	20.0	20.0	7.0	35.0	0.0	5.0	4.0
eds_python_2020_32	0.0	0.0	10.0		30.0	16.0		5.6							0.0	0.0	0.0	0.0	0.0
eds_python_2020_33	0.0	9.0	10.0	16.0			8.0	4.3				20.0	20.0	20.0	6.0	20.0	40.0	0.0	6.0
eds_python_2020_34	3.0	1.0	10.0	15.0		0.0	12.0	3.8		0.0		20.0	20.0	20.0	6.0	35.0	0.0	5.0	4.0
eds_python_2020_35	2.0	10.0	10.0	10.0			12.0	4.2		15.0			15.0		3.0	0.0	0.0	0.0	0.0
eds_python_2020_36	3.0	9.0	10.0	18.0	0.0	14.0	0.0	5.1		10.0		20.0	20.0		5.0	35.0	0.0	0.0	3.5
eds_python_2020_37	1.0	10.0	10.0	20.0	30.0	20.0	30.0	13.0	0.0	10.0					1.0	0.0	25.0	0.0	2.5
eds_python_2020_38	0.0		10.0	20.0	0.0			4.0				20.0	20.0	20.0	6.0	30.0	0.0	0.0	3.0
eds_python_2020_39	2.0	10.0	10.0	20.0	30.0	16.0	30.0	11.6		5.0		20.0	20.0		4.5	0.0	0.0	0.0	0.0
eds_python_2020_40								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_41	0.0							0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_42	0.0		10.0	18.0			12.0	4.0	20.0			20.0	20.0	0.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_43	0.0	0.0	10.0	18.0		4.0	12.0	4.4		10.0		0.0			1.0	25.0	0.0	4.0	2.9
eds_python_2020_44	0.0	10.0	10.0	12.0		4.0	12.0	4.8	20.0	10.0	20.0	20.0	20.0	20.0	11.0	25.0	30.0	35.0	9.0
eds_python_2020_45	1.0		10.0	18.0		2.0	8.0	3.8				10.0	0.0		1.0	12.0	5.0	0.0	1.7
eds_python_2020_46	1.0	10.0	10.0	20.0		0.0	12.0	5.2		10.0		20.0	20.0	0.0	5.0	35.0	5.0	5.0	4.5
eds_python_2020_47	0.0							0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_48	0.0	0.0	10.0		30.0	16.0		5.6							0.0	0.0	0.0	0.0	0.0
eds_python_2020_49	1.0	10.0	10.0	16.0			14.0	5.0	0.0			20.0	20.0	15.0	5.5	25.0	0.0	0.0	2.5
eds_python_2020_50	1.0	0.0	10.0	18.0		4.0	12.0	4.4	20.0	0.0					2.0	35.0	20.0	2.0	5.7
eds_python_2020_51	2.0		10.0	0.0				1.0		10.0	7.0	20.0	20.0	20.0	7.7	20.0	20.0	5.0	4.5
eds_python_2020_52	0.0	10.0	10.0	12.0	0.0	16.0	12.0	6.0		10.0		20.0	20.0	20.0	7.0	25.0	40.0	25.0	9.0
eds_python_2020_53	2.0	10.0	10.0	20.0	30.0	20.0	30.0	13.0	0.0	10.0			20.0		0.0	15.0	0.0	0.0	1.5
eds_python_2020_54	1.0	10.0	10.0	20.0	0.0	16.0		5.6		5.0		20.0	20.0	20.0	6.5	25.0	0.0	5.0	3.0
eds_python_2020_55	0.0	10.0	10.0	20.0	30.0	16.0	12.0	9.8	20.0	10.0		20.0	20.0	20.0	9.0	0.0	0.0	0.0	0.0
eds_python_2020_56	1.0	10.0	10.0	13.0	30.0		22.0	8.5		5.0		18.0	20.0		4.3	30.0	10.0	20.0	6.0
eds_python_2020_57	1.0	10.0	10.0	0.0				2.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_58	2.0	9.0	10.0	9.0				2.8			20.0	20.0	20.0		6.0	35.0	0.0	5.0	4.0
eds_python_2020_59	2.0							0.0				0.0			0.0	30.0	30.0	12.0	7.2
eds_python_2020_60	0.0							0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_61								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_62	0.0		10.0	20.0		8.0	12.0	5.0	20.0		20.0	20.0	0.0		6.0	25.0	0.0	0.0	2.5
eds_python_2020_63	1.0	10.0	10.0	18.0		20.0	12.0	7.0	20.0	5.0		20.0	20.0	20.0	8.5	28.0	40.0	0.0	6.8
eds_python_2020_64	2.0	0.0	10.0	15.0				2.5	0.0	5.0	7.0	20.0	20.0	0.0	5.2	35.0	20.0	25.0	8.0
eds_python_2020_65	1.0	10.0	10.0	20.0		4.0		4.4	20.0	10.0	15.0	20.0	20.0	20.0	10.5	20.0	0.0	4.0	2.4
eds_python_2020_66	2.0	10.0	10.0	20.0		20.0	30.0	10.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_67	1.0	10.0	10.0	9.0			12.0	4.1	20.0	5.0		20.0			4.5	35.0	23.0	4.0	6.2
eds_python_2020_68	3.0	10.0	10.0	20.0	30.0	16.0	20.0	10.6	20.0	5.0	20.0	20.0	20.0	20.0	10.5	35.0	40.0	0.0	7.5
eds_python_2020_69	1.0	10.0	10.0	13.0			12.0	4.5					20.0		2.0	0.0	0.0	0.0	0.0
eds_python_2020_70	2.0	8.0	10.0	20.0		8.0		4.6		0.0					0.0	0.0	0.0	0.0	0.0
eds_python_2020_71	1.0	10.0	10.0	9.0	0.0	4.0	12.0	4.5				20.0	20.0	20.0	6.0	35.0	40.0	2.0	7.7
eds_python_2020_72	1.0	9.0	10.0	16.0			8.0	4.3				20.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
eds_python_2020_73	2.0	10.0	10.0	20.0	0.0	0.0		4.0	20.0	5.0	0.0	20.0	20.0	20.0	8.5	35.0	55.0	20.0	11.0
eds_python_2020_74	2.0	10.0	10.0	20.0	30.0	6.0	2.0	7.8		5.0		20.0	0.0	10.0	3.5	0.0	0.0	0.0	0.0
eds_python_2020_75	1.0	10.0	10.0	20.0	30.0	4.0	28.0	10.2							0.0	0.0	0.0	0.0	0.0
eds_python_2020_76	3.0	10.0	10.0	20.0	8.0		12.0	6.0	0.0	5.0		20.0	20.0	20.0	6.5	35.0	30.0	3.0	6.8
eds_python_2020_77	3.0		10.0	20.0	25.0		0.0	5.5				20.0	0.0		2.0	0.0	0.0	0.0	0.0
eds_python_2020_78	1.0	9.0	10.0	7.0		2.0	12.0	4.0	0.0	5.0		20.0	0.0	20.0	4.5	15.0	0.0	19.0	3.4
eds_python_2020_79								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_80	0.0	1.0		20.0				2.1							0.0	0.0	0.0	0.0	0.0
eds_python_2020_81								0.0		0.0		20.0	20.0	20.0	6.0	20.0	45.0	4.0	6.9
eds_python_2020_82	3.0	10.0		20.0	12.0	20.0	12.0	7.4		10.0		0.0	0.0		1.0	10.0	20.0	0.0	3.0
eds_python_2020_83	2.0		10.0	16.0	30.0		14.0	7.0				20.0	20.0		4.0	0.0	0.0	4.0	0.4
eds_python_2020_84	1.0	1.0	10.0	15.0	25.0	2.0	0.0	5.3		0.0		20.0	20.0	20.0	6.0	26.0	0.0	0.0	2.6
eds_python_2020_85	0.0		10.0	0.0			0.0	1.0		5.0		0.0			0.5	0.0	0.0	0.0	0.0
eds_python_2020_86	0.0	10.0	10.0	20.0		14.0	14.0	6.8		7.0		20.0	20.0	20.0	6.7	35.0	40.0	4.0	7.9
eds_python_2020_87	3.0	10.0	10.0	18.0		2.0		4.0	0.0	5.0	0.0	0.0		5.0	1.0	17.0	40.0	0.0	5.7
eds_python_2020_88								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_89	0.0	10.0	10.0	20.0	30.0	14.0	12.0	9.6				20.0	20.0		4.0	0.0	0.0	0.0	0.0
eds_python_2020_90	3.0	10.0	10.0	7.0				2.7				20.0	20.0		4.0	15.0	0.0	4.0	1.9
eds_python_2020_91	3.0	10.0	10.0	20.0	30.0			7.0	20.0			20.0	0.0		4.0	15.0	0.0	0.0	1.5
eds_python_2020_92	3.0	10.0	10.0	20.0		6.0		4.6	20.0	0.0		20.0	20.0		6.0	25.0	0.0	0.0	2.5
eds_python_2020_93	1.0	0.0	10.0	0.0	30.0			4.0		10.0					1.0	0.0	0.0	0.0	0.0
eds_python_2020_94								0.0				0.0			0.0	15.0	20.0	4.0	3.9
eds_python_2020_95	1.0	2.0	10.0	15.0		16.0	22.0	6.5	20.0			20.0	20.0		6.0	25.0	40.0	19.0	8.4
eds_python_2020_96	0.0		10.0	20.0	30.0	20.0	30.0	12.0	20.0	10.0	20.0				5.0	0.0	40.0	4.0	4.4
eds_python_2020_97	1.0	2.0	10.0	16.0		16.0	12.0	5.6			0.0	20.0	20.0	15.0	5.5	35.0	0.0	4.0	3.9
eds_python_2020_98	1.0	10.0	10.0	20.0	30.0	6.0	14.0	9.0	20.0	10.0	20.0	20.0	20.0	20.0	11.0	35.0	40.0	32.0	10.7
eds_python_2020_99	0.0	2.0						0.2							0.0	0.0	0.0	0.0	0.0
eds_python_2020_100	4.0	10.0	10.0	20.0	30.0			7.0	20.0	0.0		20.0			4.0	0.0	0.0	0.0	0.0
