STUDY	AGE	GENDER	DECISION	DEO1	DEO2	DEO3	DEO4	DEO5	DEO6	DEO7	DEO8	DEO9	DEO10	DEO	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON	NFC1 	NFC2 	NFC3	NFC4	NFC5	NFC6	NFC7	NFC8	NFC9	NFC10	NFC11	NFC12	NFC13	NFC14	NFC15	NFC16	NFC17	NFC18	NFC	EC1	EC2	EC3	EC4	EC5	EC6	EC7	EC	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT	PP1	PP2	PP3	PP4	PP5	PP6	PP7	PP8	PP9	PP10	PP11	PP12	PP13	PP14	PP15	PP16	PP	MID1	MID2	MID3	MID4	MID5	MID6	MID7	MID8	MID9	MID10	I1	I2	I3	I4	I5	I	S1	S2	S3	S4	S5	S	AE1	AE2	AE3	AE4	AE5	AE6	AE7	AE8	AE9	AE10	AE11	AE12	AE13	AE14	AE15	AE16	AE17	AE18	AE19	AE20	AE21	AE22	AE	MOUSE1	MOUSE2	MOUSE3	MOUSE	DOUBT	OTHERCHOICE	UNCOMFORTABLE	NOSHOCK	RT
1	38	1	NA	2	2	2	1	2	2	4	2	2	2	2.1	4	4	4	5	4	4	2	4	4	4	3.9	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	5	4	5	5	5	5	5	4	4	4.714285714	5	5	5	4	5	5	5	4.857142857	1	2	1	1	1	2	2	2	1	1	1	2	1	2	1	1	1.375	3	7	1	4	1	7	7	7	7	3	7	7	7	7	7	7	3	1	4	1	3	2.4	3	3	2	4	5	4	5	6	5	5	6	6	6	7	4	6	6	6	4	5	7	5	5	6	5	5	5.333333333	NA	NA	NA	NA	NA
1	22	1	NA	1	2	2	1	2	1	2	1	2	1	1.5	4	4	4	4	4	5	3	4	4	5	4.1	4	4	5	5	5	5	5	4	5	4	4	4	4	5	5	5	4	5	4.555555556	4	4	5	3	5	3	3	3.857142857	5	4	4	4	4	3	3	3.857142857	1	2	2	1	3	2	2	2	1	1	2	1	1	2	1	2	1.625	1	4	1	4	4	6	2	4	2	1	4	6	2	4	2	3.6	1	1	4	4	1	2.2	5	5	6	4	6	5	7	6	5	7	6	6	7	7	5	7	3	7	7	3	6	6	5.727272727	5	6	6	5.666666667	NA	NA	NA	NA	NA
1	39	1	NA	1	1	3	5	3	1	4	3	3	1	2.5	4	1	4	1	3	1	1	1	3	5	2.4	3	3	4	3	1	3	3	2	2	4	4	4	3	4	4	4	3	1	3.055555556	5	4	2	4	4	3	5	3.857142857	4	5	5	2	5	4	4	4.142857143	3	2	3	3	4	3	2	3	2	1	4	1	1	2	1	2	2.3125	4	7	1	2	2	7	6	6	5	5	7	7	6	6	5	6.2	4	1	2	2	5	2.8	7	7	1	7	1	7	7	6	5	6	7	6	7	6	5	2	6	7	7	4	4	7	5.545454545	6	6	6	6	NA	NA	NA	NA	NA
1	21	0	1	2	3	3	3	3	2	3	3	3	3	2.8	4	3	3	2	3	4	3	2	2	3	2.9	3	4	5	4	5	3	5	3	4	4	3	5	4	3	4	4	5	4	4	4	4	4	4	5	4	5	4.285714286	5	5	4	4	4	4	4	4.285714286	2	1	1	2	3	2	1	2	2	1	1	2	1	1	1	1	1.5	3	7	4	4	3	7	6	6	6	3	7	7	6	6	6	6.4	3	4	4	3	3	3.4	7	7	2	5	5	6	6	7	5	2	7	6	7	3	3	5	4	6	6	2	6	6	5.136363636	4	7	7	6	2	0	6	80	9.212427
1	20	0	1	4	2	2	2	2	2	3	2	3	3	2.5	3	2	2	1	4	4	2	3	2	3	2.6	2	2	3	4	3	3	4	3	4	2	5	5	3	5	3	1	3	3	3.222222222	3	4	5	4	5	5	5	4.428571429	4	4	3	5	4	3	3	3.714285714	1	1	2	2	4	2	1	1	2	2	1	3	1	1	1	1	1.625	6	7	4	7	6	6	6	6	5	5	7	6	6	6	5	6	6	4	7	6	5	5.6	6	5	1	3	2	4	7	6	6	4	6	6	4	6	3	4	2	4	5	2	3	3	4.181818182	4	6	6	5.333333333	4	0	6.5	75	17.071711
1	21	1	1	1	2	3	2	3	2	3	2	2	2	2.2	4	2	3	4	3	4	3	4	2	4	3.3	4	4	4	3	5	2	3	3	3	3	4	4	2	2	4	3	5	4	3.444444444	2	3	5	2	3	1	2	2.571428571	4	4	2	3	4	1	4	3.142857143	2	1	2	1	3	1	1	2	2	3	1	1	1	3	2	1	1.6875	5	7	2	2	4	7	7	7	7	5	7	7	7	7	7	7	5	2	2	4	5	3.6	3	4	2	5	2	3	5	6	4	5	4	3	5	6	4	6	2	5	3	6	4	3	4.090909091	1	3	3	2.333333333	1	0	3	90	9.827884
1	23	1	1	2	2	3	2	2	2	2	2	2	2	2.1	4	2	3	4	4	4	4	4	4	4	3.7	4	2	4	4	3	1	2	3	4	4	4	4	4	4	4	3	4	4	3.444444444	4	3	3	4	5	3	4	3.714285714	2	4	4	4	3	2	2	3	2	3	1	1	2	2	1	2	1	1	1	2	2	3	2	1	1.6875	3	6	5	2	3	7	6	4	6	5	6	7	6	4	6	5.8	3	5	2	3	5	3.6	6	3	2	3	5	4	6	6	6	3	5	6	6	7	5	5	5	6	5	4	5	5	4.909090909	3	7	5	5	1	0	2.5	100	10.14303
1	20	1	1	5	4	4	4	4	2	5	4	3	2	3.7	2	2	2	3	4	4	1	2	4	4	2.8	4	3	4	2	2	2	3	2	2	3	3	4	2	3	2	2	4	5	2.888888889	4	3	4	3	5	3	4	3.714285714	5	5	5	4	3	2	4	4	2	3	2	2	4	2	1	2	3	2	2	2	2	1	1	1	2	5	6	2	1	2	7	3	3	4	3	6	7	3	3	4	4.6	5	2	1	2	3	2.6	7	6	3	5	4	4	6	5	2	3	6	6	6	6	4	6	4	6	3	4	3	3	4.636363636	5	3	4	4	1	0	5.5	70	7.447534
1	20	0	1	2	3	4	4	4	1	4	5	2	4	3.3	5	1	2	5	4	5	3	1	4	4	3.4	4	4	5	4	5	4	4	2	3	3	5	4	4	4	3	5	5	3	3.944444444	5	5	1	5	5	5	5	4.428571429	5	5	4	4	3	3	4	4	2	3	4	1	3	1	2	2	2	2	1	2	1	2	2	1	1.9375	7	6	2	6	7	7	7	7	5	5	6	7	7	7	5	6.4	7	2	6	7	5	5.4	6	2	1	5	6	6	6	7	7	5	3	3	7	7	6	7	4	7	6	2	4	6	5.136363636	4	3	3	3.333333333	5	0	4	100	8.940727
1	19	0	1	3	3	2	2	3	3	3	2	3	3	2.7	2	2	2	2	2	2	3	2	2	2	2.1	3	3	3	4	4	3	3	2	4	4	4	4	4	4	4	4	3	4	3.555555556	4	4	5	5	5	4	4	4.428571429	5	4	4	4	4	4	4	4.142857143	3	2	2	1	3	1	2	2	1	1	2	2	1	3	1	1	1.75	5	6	3	5	5	7	5	6	6	4	6	7	5	6	6	6	5	3	5	5	4	4.4	6	3	3	3	6	4	5	6	6	6	4	5	6	6	6	5	6	6	6	5	5	4	5.090909091	6	5	5	5.333333333	6	0	7	65	11.201561
