,ORDER,Time,Location,"Type of bomb (Incendiary Bomb= IB Explosive Bomb= EB, COB= Crude Oil Bomb)",Damage or other details (All dimensions at in ft unless stated)
,1,0:08,"43 Southwark Park Road, SE16, London, UK",IB,Grocers: 3x2 roof damaged
,2,0:10,"49 Southwark Park road, Bermondsey, SE16, London, UK",IB,Bakers: 3x2 roof damaged
,3,0:15,"84 Southwark Park Road, SE16, London, UK",IB,front room on 1st floor and contents slightly damaged. 3x2 rood damage
,4,0:18,"141 Braidwood Road, Catford SE6, London, UK",IB,10x6 roof damage
,5,0:20,"129 Killearn Road, Catford SE6, London, UK",IB,Front room on 1st floor severely damaged
,6,0:20,"27 Crutchley Road, Downham, London, UK",IB,IB on enclosed ground at rear of premises
,7,0:20,"Sandhurst Road School, Catford, SE6, London, UK",IB,"HM War Dept. Royal Air Force. Iron and Timer shed, 60x40 used as messroom and store room "
,8,0:20,"5 Bacon Grove, Bermondsey, SE1, London, UK",IB,3x2 Wood fencing damage
,9,0:21,"54 Laleham Road Catford, SE6, London, UK",IB,Middle room damaged
,10,0:26,"5 Chalsey Road, Brokerley, SE6, London, UK",EB,Private house damaged
,11,0:26,"84 Tyrwhitt Road, Brockley, SE4, London, UK",IB,2x1 roof damage
,12,0:27,"20 Jutland Road, Catford SE6, London, UK",EB,Five private houses severely damaged
,13,0:27,"Jutland Road Catford SE6, London, UK",EB,17 private houses damaged 
,14,0:27,"86 Torridon Road, Catford SE6, London, UK",IB,2x1 roof damage
,15,0:30,"91 Ardgowan Road, Catford SE6, London, UK",Shrapnel,2x1 roof damage
,16,0:30,"96 Tressillain Road, Brockley SE4, London, UK",EB,2 private houses damaged and 14 privates houses damaged
,17,0:32,"Tustin Street, Camberwell, SE16 , London, UK",IB,2x1 roadway damage
,18,0:32,"503 Old Kent Road, SE1, London, UK",High Explosive Bomb,"back room on 1st floor and contents slightly damaged. 40x20, contents damage"
,19,0:32,"Avondale Square SE1, London, UK",EB,"back room on 1st floor and contents slightly damaged. 40x20, contents damage"
,20,0:33,"115 Fordel Road, Lewisham SE13, London, UK",IB,IB on enclosed ground at rear of premises
,21,0:34,"108 Fordel  Road, Catford, SE6, London, UK",IB,4x3 wodden fence
,22,0:34,"138 Engleheart Road, Catford,SE6, London, UK",EB,All private houses damaged
,23,0:34,"Adelaide Avnue, Brockley SE4, London, UK",EB,"St. Cyprian's Church, severley damaged by explosive"
,24,0:34,"Nos 82-184 inclusive, London, UK",EB,Slightly damaged houses.
,25,0:34,"Ivy Lane, Brockley, SE4, London, UK",EB,Slightly damaged houses.
,26,0:37,"Verney Road, Old Kent Road, SE16, London, UK",IB,"back room on 1st floor and contents slightly damaged. 40x20, contents damage"
,27,0:38,"Verney Road, Old Kent Road, SE16, London, UK",IB,IB burned out street
,28,0:40,"127 Minard Road, Catford, SE6, London, UK",IB,Front room on 1st floor severely damaged
,29,0:40,"124 Southwark Park Road, SE16, London, UK",IB,back room on 1st floor and contents slightly damaged.
,30,0:44,"613 Old Kent Road Se15, London, UK",IB,Theatre 4 seats slightly damaged 4x2 roof
,31,0:45,"709 Old Kent Road SE1, London, UK",IB,30x20 one floor building.
,32,0:45,"348 St. James' Road SE1, London, UK",IB,
,33,0:47,"Sportsbank Street, Catford, SE6., London, UK",EB,Three private houses damaged and three severely damaged
,34,0:50,"101 Storks Road, Bermondsey, SE16, London, UK",EB,4 private houses severely damaged
,35,1:10,"91 Ardgowan Road, Catford SE6, London, UK",IB,landing on 1st floor damaged
,36,1:14,"Chadwick road, Peckham, SE15, London, UK",EB & IB,Minor fire damage in all these thoroughfares
,37,1:14,"9 Love Walk, Camberwell, SE5, London, UK",-,Minor fire damage in all these thoroughfares
,38,1:14,"27 Claude Road, Peckham SE15, London, UK",-,Minor fire damage in all these thoroughfares
,39,1:14,"33 Claude Road, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares
,40,1:14,"190 Rye Lane, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares
,41,1:14,"290 Southampton Way, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares
,42,1:14,"77 Rye Lane, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares
,43,1:14,"75 Rye Lane, Peckham, SE15, London, UK",-,Minor fire damage in all these thoroughfares
,44,1:14,"66 East Surrey Grove, Peckham SE15, London, UK",-,Minor fire damage in all these thoroughfares
,45,1:14,"91 Coleman Road, Camberwell, SE5, London, UK",-,Minor fire damage in all these thoroughfares
,46,1:52,"58 Brownhill Road, Catford, London, UK",-,IB (unexploded) on enclosed ground at rear of premises
,47,2:00,"7 Nunhead Green, Camberwell, SE15, London, UK",EB,house of 5 rooms and content severely damaged
,48,2:16,"727, Old Kent Road, Camberwell, SE15, London, UK",IB,"shop (bakery) and house of 6 rooms back room, ceiling and roof damaged."
,49,2:16,"52 Brownhill Road , London, UK",-,Falling Shrapnel
,50,2:20,"84 Tressillain Road, Brockley SE4, London, UK",-,Falling Shrapnel
,51,2:23,"83 Grange Road, Bermondsey, SE1, London, UK",IB,Grocer: front room 1st floor and contents slightly damaged. 4x2 roof damaged
,52,2:25,"52 Southwark Park Road, SE16, London, UK",IB,Furniture dealer 30x20 building and contents damaged
,53,2:49,"Prince Edward Road, E9, London, UK",EB,Roadway and 3 private houses damaged
,54,3:15,"12, Jewell Street, Mile End. E1, London, UK",IB,6 x 4ft of roof damage.
,55,3:45,"12 Harford St, Stepney E1, London, UK",IB,a building of 3 floors about 80 x 50ft and contents severely damaged
,56,5:15,"Hazelbank Road, Catford SE6, London, UK",-,2x2 roadway damage
,57,5:15,"Plough Way, SE16, London, UK",IB,"Timber importers, 200x150 buildings, canteen, workshops etc, dmaged,"
,58,5:20,"Plough Way, SE16, London, UK",EB,Buildings damaged
,59,5:57,"28 Ringstead Road, Catford, SE6, London, UK",-,2x2 roadway damage
,60,7:49,"786 Old Kent Road, Camberwell, SE15, London, UK",IB,"shop (tobacconist) and house of 6 rooms back room, ceiling and roof damaged."
,61,8:00,"7, Devonshire Grove, SE15, London, UK",IB,maritime engineers building of two floors 80x60 severely damaged.
,62,8:00,"Bromley Road, Catford, SE6, London, UK",IB,IB on enclosed ground 
,63,8:02,"42 Brown Hill Road, Catford, SE6, London, UK",-,2x2 roadway damage
,64,10:04,"39 Loampit Vale, Lewisham SE13, London, UK",-,unexploded bomb on enclosed ground at rear of premises
,65,10:04,"19 Vivian Roan, Bethnal Green E2, London, UK",IB,4x3 ft of wooden fencing damaged in yard
,66,10:42,"Milton Court Road, New Cross, Se14, London, UK",IB,IB burned out in street
,67,12:00,"39 Gilmore Road, Lewisham SE13, London, UK",-,unexplodedbomb on enclosed ground at rear of premises
,68,12:45,"3 Drivers Buildings, Mile End Rd E1, London, UK",IB,"House of 4 rooms, top floor and contents damaged. Part of roof off"
,69,13:34,"110, Skidmore Street, London, UK",IB,Front room on first floor and contents damaged. 3 x 2ft of roof breakage
,70,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"(Owned by H.M War Department) E.50 A building of 2 floors about 300x200 used as workrooms,, machine rooms office and store damaged by explosion"
,71,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"E.51 Two floor building 200x80, where insturments were stored severely damaged"
,72,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"E.2, 3, 6 and 7, A over a two acre factory space was severely damaged, demolished"
,73,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,E.40 a two floor storage building 120x80 severely damaged
,74,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"D.94, 95 and 96 A range of buildings of one and two floors used as turney, forges and store, severely damaged."
,75,14:55,"Royal Arsenal, Woolwich, SE18, London, UK",EB & IB,"E.135 and 136, 400x400 buildings used as laboratories and store severely damaged"
