likes,reposts,text,I
7,0,"Кому удобнее следить за новостями М. в инстаграме и телеграмме, подписывайтесь) 

instagram :

m.vk.official 

https://www.instagram.com/m.vk.official/

telegram :

M.official 
 https://t.me/joinchat/AAAAAEn_9H61dl-w0QtrDQ",False
575,25,"Если девушка невероятно хороша в юности, но рассеяна и ничего не доводит до конца — красота быстро уйдёт. Если же она обладает весьма скромными внешними данными, но сильным характером — очарование с годами будет возрастать.

 Софи Лорен",False
509,57,"То была очень обычная узость мышления - те, кто ею страдает, убеждены, что их цвет кожи, их верования и политические взгляды - самые лучшие, самые правильные, а все прочие люди во всем мире обделены судьбой. 

Джек Лондон
""Мартин Иден""",False
542,15,"Когда он знакомил меня с Сергеем, тот спросил: «Вы вместе?», и Октав ответил: «Нет, мы счастливы». 
 
Фредерик Бегбедер 
«Идеаль»",False
949,59,"- Общепризнано, сэр, что физические упражнения облегчают душевную боль.

Пелам Гренвилл Вудхаус "" Дживс, Вы - гений!""",False
696,46,"Любовь моя, мы встретимся в Аду.

Юджин Ли-Гамильтон. Воображаемые сонеты",False
355,30,"Весь мир играет комедию. 
 
 Тацит Публий Корнелий",False
532,25,"Играющий на фортепиано может на самом-то деле не быть пианистом, пишущий в рифму не быть поэтом, а родившая женщина не быть матерью. 
 
 Анатолий Алексин 
«Дневник жениха»",False
1603,85,"Ни за что на свете не надо жениться на таких, которые как все. 
 
Джером Дэвид Сэлинджер 
«Мягкосердечный сержант»",False
635,36,"Я считаю, что злиться — значит дьяволу угождать. 
 
Шолом Алейхем 
«Тевье-молочник»",True
1209,55,"Каждая большая любовь — своего рода наказание. 
 
Милорад Павич 
«Последняя любовь в Константинополе»",False
694,33,"Вы зациклились на какой-то удачной мысли, вернее, вообразили, что она удачная. 
 
Рэй Брэдбери 
«Смерть дело одинокое»",False
569,29,"Сострадание — основа всей морали. 
 
 Артур Шопенгауэр",False
455,8,"Никакой век не в состоянии написать своей собственной истории.

 Герберт Спенсер",False
609,17,"Я сержусь, когда веду себя неподобающе, а когда кто-нибудь другой ведёт себя плохо, я радуюсь. 
 
 Франц Кафка 
«Описание одной борьбы»",True
15,0,"instagram:  @m.vk.official

https://www.instagram.com/m.vk.official/",False
1557,62,"У меня ни гроша, у тебя ни гроша. Давай прямо сейчас, не теряя ни минуты, поженимся. 
 
 Пэлем Гринвел Вудхауз 
«Дживс, Вы гений!»",False
767,38,"— Ты глянь, как веселятся. 
— Ещё бы… они ещё не знают, что жизнь — отстой. 
 
 В Филадельфии всегда солнечно 
(It's Always Sunny in Philadelphia)",False
828,59,"– Я думаю, что ты – это ты, потому что ты не можешь быть кем-то другим. Как бы ты не менялась, ты все равно будешь оставаться собой.

Алиса Габриэлян
""Майя""",True
711,48,"Возможно он стал писать, так как не мог сказать это ей в лицо 
Сказать словами на бумаге всегда легче
В надежде, что она когда нибудь их прочтет
Он писал всегда, но она их не читала 
Возможно потому что она читала другие книги.. 

В. Уайт ""Карманы для вина""",False
1052,51,"Если раньше мне били в морду, 
 То теперь вся в крови душа.

 Сергей Есенин",False
982,26,"Моя жена боялась темноты. Но потом она увидела меня голым. Теперь она боится света. 
 
 Родни Дэнджерфилд",False
1236,69,"Я с вами согласна - хороша только полная правда. Полуправда ничего не стоит.

Стефан Цвейг
""24 часа из жизни женщины""",True
1778,102,"— Жаль, что мы друг друга знаем, иначе могли бы поладить. 
 
 Любовь вне правил 
(Leatherheads)",False
701,31,"Её любил я; сорок тысяч братьев всем множеством своей любви со мною не уравнялись бы.

Уильям Шекспир. Гамлет, принц Датский",False
1155,82,"Разве вы не знаете, в чем признак настоящего человека? Он отвечает за содеянное им! 

Эрих Мария Ремарк «Чёрный обелиск»",False
2211,109,"— Вы понимаете, что он может попасть в тюрьму?! 
— Наконец-то я буду знать, где он проводит ночи. 
 
 Смешная девчонка 
(Funny Girl)",True
688,25,"Есть девушки, чья стыдливость настолько велика, что с ними можно поступать как вам заблагорассудится, ибо они совершенно беспомощны и скорее снесут всё, что угодно, чем доверятся кому-нибудь. 
 
 Стефан Цвейг 
«Летняя новелла»",False
698,38,"В какой несгораемый шкаф Вы спрятали свой стыд? 
 
Жизнь и приключения Мишки Япончика 
(Однажды в Одессе)",False
933,51,"— Мало ли на свете людей, похожих друг на друга. 
Да, но есть лица, которые никогда не забываются. 
 
 Эрих Мария Ремарк 
«Триумфальная арка»",False
1458,80,"Прошу, не надо давать клятв, которые не сможешь сдержать. Это окончательно обесценит то, что когда-то было добрым и светлым. 

Ф. К. Каст «Богиня легенды»",False
816,56,"Человек может всю жизнь прожить в одиночестве. А что, может! Но всё-таки, кто-то ему нужен, кто бы его зарыл, хотя могилу он себе может выкопать сам. 
 
Джеймс Джойс 
«Улисс»",False
441,10,"Подарки, сделанные своими руками, опасны, так как обнаруживают, что у тебя слишком много свободного времени. 
 
 Дуглас Коупленд 
«Рабы Майкрософта»",False
954,26,"Неужто я влюблён? Я так глупо создан, что этого можно от меня ожидать. 
 
 Михаил Лермонтов 
«Герой нашего времени»",True
