eruptions	waiting
3.6	79.0
1.8	54.0
3.333	74.0
2.283	62.0
4.533	85.0
2.883	55.0
4.7	88.0
3.6	85.0
1.95	51.0
4.35	85.0
1.833	54.0
3.917	84.0
4.2	78.0
1.75	47.0
4.7	83.0
2.167	52.0
1.75	62.0
4.8	84.0
1.6	52.0
4.25	79.0
1.8	51.0
1.75	47.0
3.45	78.0
3.067	69.0
4.533	74.0
3.6	83.0
1.967	55.0
4.083	76.0
3.85	78.0
4.433	79.0
4.3	73.0
4.467	77.0
3.367	66.0
4.033	80.0
3.833	74.0
2.017	52.0
1.867	48.0
4.833	80.0
1.833	59.0
4.783	90.0
4.35	80.0
1.883	58.0
4.567	84.0
1.75	58.0
4.533	73.0
3.317	83.0
3.833	64.0
2.1	53.0
4.633	82.0
2.0	59.0
4.8	75.0
4.716	90.0
1.833	54.0
4.833	80.0
1.733	54.0
4.883	83.0
3.717	71.0
1.667	64.0
4.567	77.0
4.317	81.0
2.233	59.0
4.5	84.0
1.75	48.0
4.8	82.0
1.817	60.0
4.4	92.0
4.167	78.0
4.7	78.0
2.067	65.0
4.7	73.0
4.033	82.0
1.967	56.0
4.5	79.0
4.0	71.0
1.983	62.0
5.067	76.0
2.017	60.0
4.567	78.0
3.883	76.0
3.6	83.0
4.133	75.0
4.333	82.0
4.1	70.0
2.633	65.0
4.067	73.0
4.933	88.0
3.95	76.0
4.517	80.0
2.167	48.0
4.0	86.0
2.2	60.0
4.333	90.0
1.867	50.0
4.817	78.0
1.833	63.0
4.3	72.0
4.667	84.0
3.75	75.0
1.867	51.0
4.9	82.0
2.483	62.0
4.367	88.0
2.1	49.0
4.5	83.0
4.05	81.0
1.867	47.0
4.7	84.0
1.783	52.0
4.85	86.0
3.683	81.0
4.733	75.0
2.3	59.0
4.9	89.0
4.417	79.0
1.7	59.0
4.633	81.0
2.317	50.0
4.6	85.0
1.817	59.0
4.417	87.0
2.617	53.0
4.067	69.0
4.25	77.0
1.967	56.0
4.6	88.0
3.767	81.0
1.917	45.0
4.5	82.0
2.267	55.0
4.65	90.0
1.867	45.0
4.167	83.0
2.8	56.0
4.333	89.0
1.833	46.0
4.383	82.0
1.883	51.0
4.933	86.0
2.033	53.0
3.733	79.0
4.233	81.0
2.233	60.0
4.533	82.0
4.817	77.0
4.333	76.0
1.983	59.0
4.633	80.0
2.017	49.0
5.1	96.0
1.8	53.0
5.033	77.0
4.0	77.0
2.4	65.0
4.6	81.0
3.567	71.0
4.0	70.0
4.5	81.0
4.083	93.0
1.8	53.0
3.967	89.0
2.2	45.0
4.15	86.0
2.0	58.0
3.833	78.0
3.5	66.0
4.583	76.0
2.367	63.0
5.0	88.0
1.933	52.0
4.617	93.0
1.917	49.0
2.083	57.0
4.583	77.0
3.333	68.0
4.167	81.0
4.333	81.0
4.5	73.0
2.417	50.0
4.0	85.0
4.167	74.0
1.883	55.0
4.583	77.0
4.25	83.0
3.767	83.0
2.033	51.0
4.433	78.0
4.083	84.0
1.833	46.0
4.417	83.0
2.183	55.0
4.8	81.0
1.833	57.0
4.8	76.0
4.1	84.0
3.966	77.0
4.233	81.0
3.5	87.0
4.366	77.0
2.25	51.0
4.667	78.0
2.1	60.0
4.35	82.0
4.133	91.0
1.867	53.0
4.6	78.0
1.783	46.0
4.367	77.0
3.85	84.0
1.933	49.0
4.5	83.0
2.383	71.0
4.7	80.0
1.867	49.0
3.833	75.0
3.417	64.0
4.233	76.0
2.4	53.0
4.8	94.0
2.0	55.0
4.15	76.0
1.867	50.0
4.267	82.0
1.75	54.0
4.483	75.0
4.0	78.0
4.117	79.0
4.083	78.0
4.267	78.0
3.917	70.0
4.55	79.0
4.083	70.0
2.417	54.0
4.183	86.0
2.217	50.0
4.45	90.0
1.883	54.0
1.85	54.0
4.283	77.0
3.95	79.0
2.333	64.0
4.15	75.0
2.35	47.0
4.933	86.0
2.9	63.0
4.583	85.0
3.833	82.0
2.083	57.0
4.367	82.0
2.133	67.0
4.35	74.0
2.2	54.0
4.45	83.0
3.567	73.0
4.5	73.0
4.15	88.0
3.817	80.0
3.917	71.0
4.45	83.0
2.0	56.0
4.283	79.0
4.767	78.0
4.533	84.0
1.85	58.0
4.25	83.0
1.983	43.0
2.25	60.0
4.75	75.0
4.117	81.0
2.15	46.0
4.417	90.0
1.817	46.0
4.467	74.0
