Time	Location	Type_of_bomb	Damage	x	y
0:08	43 Southwark Park Road, SE16, London, UK	IB	Grocers: 3x2 roof damaged	-0.12766	51.507351
0:10	49 Southwark Park road, Bermondsey, SE16, London, UK	IB	Bakers: 3x2 roof damaged	-0.054303	51.487794
0:15	84 Southwark Park Road, SE16, London, UK	IB	front room on 1st floor and contents slightly damaged. 3x2 rood damage	-0.12766	51.507351
0:18	141 Braidwood Road, Catford SE6, London, UK	IB	10x6 roof damage	-0.025584	51.443299
0:20	129 Killearn Road, Catford SE6, London, UK	IB	Front room on 1st floor severely damaged	-0.025584	51.443299
0:20	Sandhurst Road School, Catford, SE6, London, UK	IB	HM War Dept. Royal Air Force. Iron and Timer shed, 60x40 used as messroom and store room 	-0.025584	51.443299
0:20	5 Bacon Grove, Bermondsey, SE1, London, UK	IB	3x2 Wood fencing damage	-0.077722	51.488775
0:21	54 Laleham Road Catford, SE6, London, UK	IB	Middle room damaged	-0.025584	51.443299
0:26	84 Tyrwhitt Road, Brockley, SE4, London, UK	IB	2x1 roof damage	-0.037594	51.464609
0:27	20 Jutland Road, Catford SE6, London, UK	EB	Five private houses severely damaged	-0.025584	51.443299
0:27	Jutland Road Catford SE6, London, UK	EB	17 private houses damaged 	-0.025584	51.443299
0:27	86 Torridon Road, Catford SE6, London, UK	IB	2x1 roof damage	-0.025584	51.443299
0:30	91 Ardgowan Road, Catford SE6, London, UK	Shrapnel	2x1 roof damage	-0.025584	51.443299
0:30	96 Tressillain Road, Brockley SE4, London, UK	EB	2 private houses damaged and 14 privates houses damaged	-0.037594	51.464609
0:32	Tustin Street, Camberwell, SE16 , London, UK	IB	2x1 roadway damage	-0.094081	51.479005
0:32	503 Old Kent Road, SE1, London, UK	High Explosive Bomb	back room on 1st floor and contents slightly damaged. 40x20, contents damage	-0.082816	51.491994
0:32	Avondale Square SE1, London, UK	EB	back room on 1st floor and contents slightly damaged. 40x20, contents damage	-0.12766	51.507351
0:33	115 Fordel Road, Lewisham SE13, London, UK	IB	IB on enclosed ground at rear of premises	-0.012567	51.455849
0:34	108 Fordel  Road, Catford, SE6, London, UK	IB	4x3 wodden fence	-0.025584	51.443299
0:34	138 Engleheart Road, Catford,SE6, London, UK	EB	All private houses damaged	-0.025584	51.443299
0:34	Adelaide Avnue, Brockley SE4, London, UK	EB	St. Cyprian's Church, severley damaged by explosive	-0.037594	51.464609
0:34	Nos 82-184 inclusive, London, UK	EB	Slightly damaged houses.	-0.12766	51.507351
0:34	Ivy Lane, Brockley, SE4, London, UK	EB	Slightly damaged houses.	-0.037594	51.464609
0:37	Verney Road, Old Kent Road, SE16, London, UK	IB	back room on 1st floor and contents slightly damaged. 40x20, contents damage	-0.082816	51.491994
0:38	Verney Road, Old Kent Road, SE16, London, UK	IB	IB burned out street	-0.082816	51.491994
0:40	127 Minard Road, Catford, SE6, London, UK	IB	Front room on 1st floor severely damaged	-0.025584	51.443299
0:40	124 Southwark Park Road, SE16, London, UK	IB	back room on 1st floor and contents slightly damaged.	-0.12766	51.507351
0:44	613 Old Kent Road Se15, London, UK	IB	Theatre 4 seats slightly damaged 4x2 roof	-0.082816	51.491994
0:45	709 Old Kent Road SE1, London, UK	IB	30x20 one floor building.	-0.082816	51.491994
0:45	348 St. James' Road SE1, London, UK	IB		-0.12766	51.507351
0:47	Sportsbank Street, Catford, SE6., London, UK	EB	Three private houses damaged and three severely damaged	-0.025584	51.443299
0:50	101 Storks Road, Bermondsey, SE16, London, UK	EB	4 private houses severely damaged	-0.054303	51.487794
