Time	Group
17.5	ILEC
2.4	ILEC
0	ILEC
0.65	ILEC
22.23	ILEC
1.2	ILEC
2.08	ILEC
4.97	ILEC
0	ILEC
27.65	ILEC
15.67	ILEC
0	ILEC
0.4	ILEC
17.85	ILEC
22.18	ILEC
17.33	ILEC
0	ILEC
0	ILEC
69.93	ILEC
0	ILEC
0	ILEC
31.22	ILEC
77.17	ILEC
0	ILEC
4.08	ILEC
17.48	ILEC
24.2	ILEC
19.33	ILEC
3.52	ILEC
0	ILEC
22.5	ILEC
17.25	ILEC
0.42	ILEC
3.65	ILEC
2.07	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
191.6	ILEC
23.02	ILEC
19.88	ILEC
0	ILEC
0	ILEC
52.1	ILEC
23.4	ILEC
0	ILEC
43.03	ILEC
46.95	ILEC
0	ILEC
45.57	ILEC
22.15	ILEC
0.07	ILEC
0.07	ILEC
1.22	ILEC
91.02	ILEC
0.07	ILEC
74.05	ILEC
3.55	ILEC
4.32	ILEC
0.28	ILEC
3.05	ILEC
4.85	ILEC
0	ILEC
4.17	ILEC
40.25	ILEC
1.18	ILEC
54.28	ILEC
1.2	ILEC
0	ILEC
1.55	ILEC
3.22	ILEC
3.9	ILEC
5.7	ILEC
73.53	ILEC
28.87	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
19.48	ILEC
18.52	ILEC
19.8	ILEC
23.6	ILEC
22.37	ILEC
22.45	ILEC
21.2	ILEC
0	ILEC
0	ILEC
19.45	ILEC
91.1	ILEC
21.27	ILEC
2.48	ILEC
3.82	ILEC
23.83	ILEC
22.7	ILEC
21.03	ILEC
23.3	ILEC
16.58	ILEC
6.03	ILEC
27.6	ILEC
29.12	ILEC
5.08	ILEC
0	ILEC
18.17	ILEC
0	ILEC
19.82	ILEC
0	ILEC
27.28	ILEC
21.38	ILEC
29.25	ILEC
48.23	ILEC
20.77	ILEC
22.3	ILEC
1.82	ILEC
1.98	ILEC
19.27	ILEC
27.15	ILEC
0.03	ILEC
16.63	ILEC
3.8	ILEC
3.77	ILEC
7.12	ILEC
0	ILEC
16.33	ILEC
20.5	ILEC
18.57	ILEC
24.7	ILEC
0	ILEC
22.28	ILEC
3.07	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
20.38	ILEC
0	ILEC
2.1	ILEC
1.22	ILEC
3.87	ILEC
0	ILEC
1.57	ILEC
0.43	ILEC
0	ILEC
16.8	ILEC
17.62	ILEC
0	ILEC
36.03	ILEC
0	ILEC
6.05	ILEC
1.82	ILEC
0	ILEC
0	ILEC
23.02	ILEC
0	ILEC
2.37	ILEC
20.35	ILEC
26.95	ILEC
0	ILEC
0	ILEC
6.07	ILEC
14.87	ILEC
4.5	ILEC
0.1	ILEC
0.4	ILEC
0.03	ILEC
1.7	ILEC
16.87	ILEC
1.43	ILEC
0.15	ILEC
0.05	ILEC
25.57	ILEC
0	ILEC
0	ILEC
5.58	ILEC
15.48	ILEC
0	ILEC
7.53	ILEC
0.38	ILEC
0	ILEC
0	ILEC
2.2	ILEC
0	ILEC
1.9	ILEC
0	ILEC
0	ILEC
30.72	ILEC
21.6	ILEC
0	ILEC
22.78	ILEC
2.18	ILEC
27.23	ILEC
0	ILEC
0.33	ILEC
13.88	ILEC
22.98	ILEC
5.92	ILEC
14.7	ILEC
5.13	ILEC
2.33	ILEC
0	ILEC
0.58	ILEC
19.68	ILEC
21.72	ILEC
8.28	ILEC
20.58	ILEC
23.95	ILEC
16.52	ILEC
