sales	training	female	experience	capital	IQ
145.554	0	0	2	0	101
100.768	0	0	2	0	83
107.222	0	0	1	0	85
143.026	0	1	1	1	101
176.246	0	0	1	0	98
110.258	0	0	1	0	92
136.906	0	0	1	0	88
182.019	0	1	1	1	96
164.117	0	1	3	1	93
228.811	1	1	2	1	113
198.102	0	0	1	0	106
189.206	1	1	1	1	93
207.958	0	1	3	1	110
229.347	0	0	3	0	117
208.326	1	0	5	1	86
148.562	0	0	5	0	85
216.759	1	0	3	0	94
213.265	0	0	5	1	82
174.813	0	0	5	0	120
107.477	0	0	1	0	91
185.937	1	1	5	0	107
164.757	1	0	1	0	122
139.807	0	0	1	0	96
167.083	0	0	1	0	119
218.714	0	0	2	1	107
181.381	0	0	3	0	107
202.61	1	0	2	0	119
129.705	0	0	2	1	83
181.388	1	0	3	0	102
167.623	0	0	4	0	88
224.894	0	0	1	1	103
169.81	0	0	4	0	80
284.866	1	0	5	0	115
201.378	1	0	2	1	120
140.084	0	0	1	0	120
158.498	0	0	5	1	81
158.719	0	1	1	0	109
131.289	0	1	3	1	91
130.551	1	0	1	1	86
162.875	0	0	4	1	91
198.831	1	1	5	1	86
133.276	0	1	3	1	95
137.769	0	1	5	0	121
121.23	0	1	3	0	100
118.719	0	0	2	1	109
128.155	0	0	3	1	95
220.705	1	0	2	1	90
162.304	0	0	4	0	84
125.576	0	1	2	1	81
158.835	1	0	3	1	87
187.667	0	1	1	1	121
92.67	0	1	1	0	86
250.233	0	1	4	1	112
165.113	0	1	3	1	110
145.937	0	0	5	1	87
263.798	0	0	2	1	118
113.783	1	0	1	0	95
90.043	0	0	2	1	84
179.354	0	1	4	1	89
182.442	0	0	5	1	116
210.639	0	0	2	0	95
95.439	0	0	4	0	81
127.778	0	0	2	0	111
179.248	1	0	5	0	89
112.633	0	0	3	1	91
221.207	0	1	4	0	99
156.132	1	0	2	1	117
175.546	0	0	2	1	81
158.18	0	0	5	1	117
218.599	0	0	5	1	95
105.023	0	1	3	0	80
133.627	1	1	2	1	102
178.287	0	0	1	1	113
291.99	1	0	3	0	120
152.005	0	1	3	0	102
191.743	0	0	4	1	110
166.373	0	0	2	0	96
172.69	0	1	5	1	115
187.641	0	1	5	0	113
172.104	0	0	3	1	104
143.702	0	0	1	0	109
176.277	0	0	3	1	122
153.965	1	1	3	0	83
167.988	0	0	1	0	91
