Date	AveragePrice	Region	Year	Type
2015-12	1.08	Albany	2015	conventional
2015-11	1.02	Albany	2015	conventional
2015-10	1.31	Albany	2015	conventional
2015-09	1.11	Albany	2015	conventional
2015-08	1.45	Albany	2015	conventional
2015-07	1.35	Albany	2015	conventional
2015-06	1.07	Albany	2015	conventional
2015-05	1.2	Albany	2015	conventional
2015-04	1.16	Albany	2015	conventional
2015-03	0.99	Albany	2015	conventional
2015-02	0.99	Albany	2015	conventional
2015-01	1.22	Albany	2015	conventional
2015-12	1.07	Atlanta	2015	conventional
2015-11	0.99	Atlanta	2015	conventional
2015-10	0.96	Atlanta	2015	conventional
2015-09	0.97	Atlanta	2015	conventional
2015-08	1.15	Atlanta	2015	conventional
2015-07	1.01	Atlanta	2015	conventional
2015-06	0.99	Atlanta	2015	conventional
2015-05	1.0	Atlanta	2015	conventional
2015-04	1.04	Atlanta	2015	conventional
2015-03	0.99	Atlanta	2015	conventional
2015-02	0.96	Atlanta	2015	conventional
2015-01	1.0	Atlanta	2015	conventional
2015-12	1.04	BaltimoreWashington	2015	conventional
2015-11	1.12	BaltimoreWashington	2015	conventional
2015-10	1.28	BaltimoreWashington	2015	conventional
2015-09	1.18	BaltimoreWashington	2015	conventional
2015-08	1.17	BaltimoreWashington	2015	conventional
2015-07	1.16	BaltimoreWashington	2015	conventional
2015-06	1.26	BaltimoreWashington	2015	conventional
2015-05	1.17	BaltimoreWashington	2015	conventional
2015-04	1.29	BaltimoreWashington	2015	conventional
2015-03	1.16	BaltimoreWashington	2015	conventional
2015-02	1.06	BaltimoreWashington	2015	conventional
2015-01	1.08	BaltimoreWashington	2015	conventional
2015-12	0.71	Boise	2015	conventional
2015-11	1.14	Boise	2015	conventional
2015-10	1.12	Boise	2015	conventional
2015-09	1.16	Boise	2015	conventional
2015-08	1.07	Boise	2015	conventional
2015-07	1.15	Boise	2015	conventional
2015-06	1.12	Boise	2015	conventional
2015-05	1.0	Boise	2015	conventional
2015-04	1.09	Boise	2015	conventional
2015-03	1.06	Boise	2015	conventional
2015-02	0.91	Boise	2015	conventional
2015-01	1.01	Boise	2015	conventional
2015-12	1.02	Boston	2015	conventional
2015-11	1.06	Boston	2015	conventional
2015-10	1.07	Boston	2015	conventional
2015-09	1.11	Boston	2015	conventional
2015-08	1.17	Boston	2015	conventional
2015-07	1.27	Boston	2015	conventional
2015-06	1.25	Boston	2015	conventional
2015-05	1.17	Boston	2015	conventional
2015-04	1.27	Boston	2015	conventional
2015-03	1.11	Boston	2015	conventional
2015-02	1.22	Boston	2015	conventional
2015-01	1.02	Boston	2015	conventional
2015-12	1.23	BuffaloRochester	2015	conventional
2015-11	1.23	BuffaloRochester	2015	conventional
2015-10	1.33	BuffaloRochester	2015	conventional
2015-09	1.56	BuffaloRochester	2015	conventional
2015-08	1.47	BuffaloRochester	2015	conventional
2015-07	1.47	BuffaloRochester	2015	conventional
2015-06	1.38	BuffaloRochester	2015	conventional
2015-05	1.42	BuffaloRochester	2015	conventional
2015-04	1.44	BuffaloRochester	2015	conventional
2015-03	1.43	BuffaloRochester	2015	conventional
2015-02	1.33	BuffaloRochester	2015	conventional
2015-01	1.4	BuffaloRochester	2015	conventional
2015-12	0.78	California	2015	conventional
2015-11	0.95	California	2015	conventional
2015-10	1.02	California	2015	conventional
2015-09	1.09	California	2015	conventional
2015-08	1.16	California	2015	conventional
2015-07	1.12	California	2015	conventional
2015-06	0.98	California	2015	conventional
2015-05	0.88	California	2015	conventional
2015-04	1.12	California	2015	conventional
2015-03	0.84	California	2015	conventional
2015-02	0.85	California	2015	conventional
2015-01	0.93	California	2015	conventional
2015-12	0.99	Charlotte	2015	conventional
2015-11	1.11	Charlotte	2015	conventional
2015-10	1.22	Charlotte	2015	conventional
2015-09	1.01	Charlotte	2015	conventional
2015-08	1.24	Charlotte	2015	conventional
2015-07	1.18	Charlotte	2015	conventional
2015-06	1.15	Charlotte	2015	conventional
2015-05	1.0	Charlotte	2015	conventional
2015-04	1.19	Charlotte	2015	conventional
2015-03	1.18	Charlotte	2015	conventional
2015-02	0.98	Charlotte	2015	conventional
2015-01	1.19	Charlotte	2015	conventional
2015-12	1.14	Chicago	2015	conventional
2015-11	1.0	Chicago	2015	conventional
2015-10	1.18	Chicago	2015	conventional
2015-09	1.11	Chicago	2015	conventional
2015-08	1.27	Chicago	2015	conventional
2015-07	1.24	Chicago	2015	conventional
2015-06	1.24	Chicago	2015	conventional
2015-05	1.04	Chicago	2015	conventional
2015-04	1.27	Chicago	2015	conventional
2015-03	1.09	Chicago	2015	conventional
2015-02	0.91	Chicago	2015	conventional
2015-01	1.11	Chicago	2015	conventional
2015-12	0.83	CincinnatiDayton	2015	conventional
2015-11	0.93	CincinnatiDayton	2015	conventional
2015-10	0.93	CincinnatiDayton	2015	conventional
2015-09	1.02	CincinnatiDayton	2015	conventional
2015-08	1.09	CincinnatiDayton	2015	conventional
2015-07	1.03	CincinnatiDayton	2015	conventional
2015-06	1.07	CincinnatiDayton	2015	conventional
2015-05	1.08	CincinnatiDayton	2015	conventional
2015-04	1.06	CincinnatiDayton	2015	conventional
2015-03	0.89	CincinnatiDayton	2015	conventional
2015-02	0.86	CincinnatiDayton	2015	conventional
2015-01	0.88	CincinnatiDayton	2015	conventional
2015-12	0.99	Columbus	2015	conventional
2015-11	0.99	Columbus	2015	conventional
2015-10	0.93	Columbus	2015	conventional
2015-09	1.04	Columbus	2015	conventional
2015-08	1.05	Columbus	2015	conventional
2015-07	0.98	Columbus	2015	conventional
2015-06	1.03	Columbus	2015	conventional
2015-05	0.99	Columbus	2015	conventional
2015-04	1.09	Columbus	2015	conventional
2015-03	1.03	Columbus	2015	conventional
2015-02	0.87	Columbus	2015	conventional
2015-01	0.89	Columbus	2015	conventional
2015-12	0.74	DallasFtWorth	2015	conventional
2015-11	0.78	DallasFtWorth	2015	conventional
2015-10	0.82	DallasFtWorth	2015	conventional
2015-09	0.84	DallasFtWorth	2015	conventional
2015-08	0.87	DallasFtWorth	2015	conventional
2015-07	0.83	DallasFtWorth	2015	conventional
2015-06	0.73	DallasFtWorth	2015	conventional
2015-05	0.77	DallasFtWorth	2015	conventional
2015-04	0.77	DallasFtWorth	2015	conventional
2015-03	0.82	DallasFtWorth	2015	conventional
2015-02	0.68	DallasFtWorth	2015	conventional
2015-01	0.74	DallasFtWorth	2015	conventional
2015-12	0.76	Denver	2015	conventional
2015-11	0.82	Denver	2015	conventional
2015-10	1.02	Denver	2015	conventional
2015-09	1.09	Denver	2015	conventional
2015-08	1.05	Denver	2015	conventional
2015-07	1.19	Denver	2015	conventional
2015-06	1.11	Denver	2015	conventional
2015-05	1.01	Denver	2015	conventional
2015-04	1.19	Denver	2015	conventional
2015-03	1.03	Denver	2015	conventional
2015-02	0.93	Denver	2015	conventional
2015-01	0.99	Denver	2015	conventional
2015-12	0.98	Detroit	2015	conventional
2015-11	1.04	Detroit	2015	conventional
2015-10	1.1	Detroit	2015	conventional
2015-09	1.09	Detroit	2015	conventional
2015-08	1.04	Detroit	2015	conventional
2015-07	1.06	Detroit	2015	conventional
2015-06	0.97	Detroit	2015	conventional
2015-05	1.06	Detroit	2015	conventional
2015-04	1.11	Detroit	2015	conventional
2015-03	0.97	Detroit	2015	conventional
2015-02	0.92	Detroit	2015	conventional
2015-01	1.01	Detroit	2015	conventional
2015-12	0.93	GrandRapids	2015	conventional
2015-11	0.91	GrandRapids	2015	conventional
2015-10	0.99	GrandRapids	2015	conventional
2015-09	1.09	GrandRapids	2015	conventional
2015-08	1.05	GrandRapids	2015	conventional
2015-07	1.16	GrandRapids	2015	conventional
2015-06	1.14	GrandRapids	2015	conventional
2015-05	1.06	GrandRapids	2015	conventional
2015-04	1.22	GrandRapids	2015	conventional
2015-03	0.95	GrandRapids	2015	conventional
2015-02	0.94	GrandRapids	2015	conventional
2015-01	0.95	GrandRapids	2015	conventional
2015-12	1.0	GreatLakes	2015	conventional
2015-11	1.0	GreatLakes	2015	conventional
2015-10	1.05	GreatLakes	2015	conventional
2015-09	1.07	GreatLakes	2015	conventional
2015-08	1.14	GreatLakes	2015	conventional
2015-07	1.13	GreatLakes	2015	conventional
2015-06	1.13	GreatLakes	2015	conventional
2015-05	1.05	GreatLakes	2015	conventional
2015-04	1.18	GreatLakes	2015	conventional
2015-03	1.02	GreatLakes	2015	conventional
2015-02	0.91	GreatLakes	2015	conventional
2015-01	1.02	GreatLakes	2015	conventional
2015-12	1.1	HarrisburgScranton	2015	conventional
2015-11	1.13	HarrisburgScranton	2015	conventional
2015-10	1.16	HarrisburgScranton	2015	conventional
2015-09	1.19	HarrisburgScranton	2015	conventional
2015-08	1.1	HarrisburgScranton	2015	conventional
2015-07	1.19	HarrisburgScranton	2015	conventional
2015-06	1.21	HarrisburgScranton	2015	conventional
2015-05	1.17	HarrisburgScranton	2015	conventional
2015-04	1.21	HarrisburgScranton	2015	conventional
2015-03	1.07	HarrisburgScranton	2015	conventional
2015-02	1.06	HarrisburgScranton	2015	conventional
2015-01	1.05	HarrisburgScranton	2015	conventional
2015-12	1.19	HartfordSpringfield	2015	conventional
2015-11	1.16	HartfordSpringfield	2015	conventional
2015-10	1.3	HartfordSpringfield	2015	conventional
2015-09	1.27	HartfordSpringfield	2015	conventional
2015-08	1.16	HartfordSpringfield	2015	conventional
2015-07	1.25	HartfordSpringfield	2015	conventional
2015-06	1.29	HartfordSpringfield	2015	conventional
2015-05	1.25	HartfordSpringfield	2015	conventional
2015-04	1.33	HartfordSpringfield	2015	conventional
2015-03	1.12	HartfordSpringfield	2015	conventional
2015-02	1.32	HartfordSpringfield	2015	conventional
2015-01	1.06	HartfordSpringfield	2015	conventional
2015-12	0.74	Houston	2015	conventional
2015-11	0.77	Houston	2015	conventional
2015-10	0.82	Houston	2015	conventional
2015-09	0.89	Houston	2015	conventional
2015-08	0.9	Houston	2015	conventional
2015-07	0.79	Houston	2015	conventional
2015-06	0.72	Houston	2015	conventional
